vendor_id,city,zone_type,vendor_age_years,years_in_business,food_category,license_status,avg_daily_revenue_inr,avg_daily_customers,monthly_stall_rent_inr,num_helpers,hours_open_per_day,competition_within_100m,monthly_health_inspection_score,had_fine_last_year,avg_monthly_rainfall_mm,season_of_observation,has_online_presence,customer_complaint_rate,vendor_survived
VSF-00016,Bengaluru,Commercial,30.0,5.64,South Indian,Pending Renewal,339.9,10.0,6652.89,5,12.22,9.0,76.78,0.0,80.17,Summer,1.0,0.19,1
VSF-00017,Lucknow,Tourist Spot,24.0,6.44,Grilled & BBQ,Pending Renewal,4340.52,230.0,0.0,0,11.57,2.0,46.12,1.0,36.92,Post-Monsoon,0.0,0.24,1
VSF-00018,Delhi,Commercial,42.0,4.37,Desserts & Sweets,Licensed,942.5,72.0,5133.93,0,11.38,14.0,,0.0,111.38,Summer,,0.05,1
VSF-00019,Lucknow,Commercial,54.0,6.68,Rolls & Wraps,Licensed,1661.13,107.0,0.0,0,13.38,15.0,28.04,0.0,11.82,Winter,0.0,0.25,1
VSF-00020,Hyderabad,Commercial,38.0,7.76,North Indian,Licensed,3764.29569592166,1.0,1956.91,0,6.35,11.0,25.0,0.0,44.48,Post-Monsoon,0.0,0.26,0
VSF-00021,Delhi,Transit Hub,39.0,5.95,Seafood,Pending Renewal,1044.29,39.0,3458.46,0,12.2,6.0,,1.0,95.55,Summer,0.0,,0
VSF-00022,Delhi,Commercial,41.0,19.65,Beverages,Licensed,1222.82,56.0,3383.58,2,7.63,11.0,87.48,0.0,97.79,Winter,1.0,0.12,0
VSF-00023,Hyderabad,Transit Hub,55.0,22.7,Grilled & BBQ,Licensed,2197.82,96.0,0.0,0,6.91,8.0,80.0,0.0,70.88,Post-Monsoon,0.0,0.17,0
VSF-00024,Mumbai,Commercial,31.0,13.82,Beverages,Unlicensed,,68.0,,3,6.23,9.0,,0.0,248.13,Winter,0.0,0.18,0
VSF-00025,Delhi,Residential,46.0,7.13,Chinese,Licensed,723.02,40.0,2798.63,0,7.03,0.0,31.15,0.0,97.38,Summer,0.0,0.13,0
VSF-00026,Bengaluru,Tourist Spot,47.0,15.16,Chaat,Licensed,763.42,26.0,0.0,0,12.64,0.0,40.0,0.0,79.16,Post-Monsoon,0.0,,0
VSF-00027,Delhi,Residential,26.0,7.49,Chinese,Unlicensed,2577.09,,3533.79,0,7.25,5.0,47.21,0.0,166.15,Monsoon,1.0,0.27,0
VSF-00028,Bengaluru,Industrial,,1.04,Beverages,Pending Renewal,703.83,35.0,1567.37,0,6.53,7.0,,0.0,82.01,Summer,1.0,0.12,1
VSF-00029,Pune,Transit Hub,53.0,28.65,Desserts & Sweets,Licensed,1047.98,54.0,6350.57,0,7.46,13.0,64.87,0.0,154.76,Monsoon,0.0,0.11,1
VSF-00030,Pune,Tourist Spot,35.0,5.12,Seafood,Licensed,1032.19,53.0,4207.11,0,7.46,2.0,92.83,0.0,115.4,Monsoon,0.0,0.2,1
VSF-00031,Hyderabad,Tourist Spot,44.0,14.8,North Indian,Licensed,1866.26,109.0,3325.13,1,,8.0,40.38,0.0,39.48,Winter,0.0,0.04,1
VSF-00032,Pune,University Area,25.0,8.02,North Indian,Licensed,1962.93,105.0,2071.0,0,7.56,5.0,65.0,0.0,94.8,Post-Monsoon,0.0,0.23,0
VSF-00033,Delhi,University Area,48.0,28.69,Fast Food,Licensed,1914.89,99.0,0.0,1,7.07,4.0,,0.0,129.66,Summer,0.0,0.27,0
VSF-00034,Mumbai,Commercial,32.0,11.31,Rolls & Wraps,Licensed,35498.67,400.0,,0,11.03,6.0,,0.0,252.39,Summer,0.0,0.01,1
VSF-00035,Jaipur,University Area,51.0,28.45,Rolls & Wraps,Unlicensed,1170.36,57.0,5667.58,0,12.38,6.0,,1.0,16.84,Winter,0.0,0.09,0
VSF-00036,Kochi,University Area,47.0,,Chaat,Licensed,3044.39,149.0,0.0,1,7.73,7.0,,0.0,311.06,Summer,0.0,0.25,0
VSF-00037,Pune,University Area,28.0,6.15,Rolls & Wraps,Licensed,742.68,66.0,5699.29,0,12.89,8.0,80.0,0.0,60.84,Post-Monsoon,0.0,0.02,1
VSF-00038,Jaipur,Residential,41.0,24.45,Seafood,Pending Renewal,770.66,31.0,1027.42,3,7.08,1.0,91.05,1.0,36.79,Winter,1.0,0.17,0
VSF-00039,Delhi,Tourist Spot,55.0,26.22,Chinese,Licensed,2406.47,,2388.04,0,7.68,0.0,74.54,0.0,119.41,Post-Monsoon,0.0,0.17,1
VSF-00040,Delhi,Transit Hub,37.0,15.53,Desserts & Sweets,Unlicensed,4007.68,219.0,1297.76,0,6.81,18.0,46.94,0.0,88.5,Winter,1.0,,0
VSF-00041,Mumbai,Industrial,39.0,21.84,Rolls & Wraps,Licensed,,76.0,7051.55,0,6.54,,,0.0,276.46,Monsoon,0.0,0.1,0
VSF-00042,Bengaluru,Residential,42.0,4.06,Chaat,Unlicensed,2138.08,91.0,3995.0,2,7.39,6.0,50.0,0.0,172.58,Monsoon,0.0,0.28,0
VSF-00043,Kochi,Commercial,44.0,22.02,Fast Food,Licensed,,164.0,7120.82,0,11.5,18.0,20.43,0.0,288.73,Winter,0.0,0.17,0
VSF-00044,Lucknow,Industrial,45.0,4.75,Chaat,Unlicensed,1669.54,92.0,0.0,0,7.29,8.0,50.0,0.0,14.2,Winter,0.0,0.1,0
VSF-00045,Mumbai,Industrial,50.0,3.65,Seafood,Expired,677.73,31.0,1608.59,0,12.06,8.0,70.0,0.0,320.14,Monsoon,0.0,0.09,0
VSF-00046,Delhi,Commercial,41.0,16.23,Seafood,Licensed,746.26,39.0,5666.06,0,7.45,15.0,30.0,1.0,197.13,Monsoon,0.0,0.18,0
VSF-00047,Hyderabad,Transit Hub,22.0,0.79,Rolls & Wraps,Unlicensed,1266.11,89.0,2062.18,1,7.07,18.0,80.0,0.0,71.82,Post-Monsoon,1.0,0.08,0
VSF-00048,Mumbai,University Area,53.0,3.97,North Indian,Licensed,854.17,31.0,7585.19,2,7.57,5.0,49.33,0.0,317.92,Monsoon,1.0,0.26,0
VSF-00049,Mumbai,Tourist Spot,52.0,14.87,Rolls & Wraps,Pending Renewal,2110.06,103.0,0.0,0,10.93,3.0,27.92,0.0,308.69,Monsoon,0.0,0.07,1
VSF-00050,Mumbai,University Area,,29.9,Grilled & BBQ,Licensed,2384.4,103.0,3714.55,1,7.05,5.0,75.02,0.0,292.1,Monsoon,0.0,0.18,0
VSF-00051,Hyderabad,Industrial,45.0,25.14,North Indian,Licensed,487.44,10.0,7678.41,1,7.38,0.0,22.88,0.0,45.95,Winter,0.0,0.08,0
VSF-00052,Jaipur,Transit Hub,43.0,13.98,Chaat,Licensed,2226.44,128.0,0.0,1,11.06,10.0,,0.0,26.82,Summer,0.0,0.19,1
VSF-00053,Jaipur,University Area,46.0,18.26,North Indian,Licensed,2480.99,120.0,3963.72,1,10.96,4.0,55.0,1.0,122.09,Monsoon,1.0,0.28,1
VSF-00054,Kochi,Tourist Spot,47.0,5.36,Chaat,Pending Renewal,1809.14,68.0,5050.5,0,7.13,6.0,85.79,0.0,330.24,Monsoon,0.0,0.04,1
VSF-00055,Hyderabad,Tourist Spot,45.0,24.23,Fast Food,Expired,,20.0,7973.61,0,7.44,7.0,,0.0,124.33,Monsoon,0.0,0.11,0
VSF-00056,Pune,Residential,38.0,18.24,Chinese,Licensed,,134.0,3969.43,0,6.87,1.0,24.69,1.0,92.32,Summer,0.0,0.19,0
VSF-00057,Mumbai,Commercial,49.0,8.56,Chinese,Expired,,32.0,6579.03,0,6.27,8.0,,1.0,230.18,Winter,0.0,,0
VSF-00058,Lucknow,Residential,35.0,8.43,Rolls & Wraps,Licensed,1079.61,53.0,0.0,0,6.69,1.0,60.0,1.0,27.09,Summer,0.0,0.22,0
VSF-00059,Mumbai,University Area,26.0,5.68,North Indian,,4210.96,213.0,6897.81,0,7.33,8.0,54.67,0.0,313.1,Monsoon,0.0,0.29,0
VSF-00060,Mumbai,Tourist Spot,46.0,17.03,South Indian,Licensed,1712.48,74.0,1559.41,1,11.52,2.0,35.0,0.0,261.71,Post-Monsoon,0.0,0.19,0
VSF-00061,Delhi,Tourist Spot,52.0,1.48,Beverages,Unlicensed,1142.35,60.0,7763.31,0,12.67,1.0,,1.0,104.95,Winter,0.0,,1
VSF-00062,Kochi,Residential,28.0,6.18,Seafood,Licensed,1033.78,76.0,5219.2,0,12.95,2.0,,1.0,350.0,Monsoon,0.0,,0
VSF-00063,Delhi,Tourist Spot,33.0,4.34,North Indian,Unlicensed,1414.77,53.0,1727.71,0,11.92,0.0,,1.0,173.75,Monsoon,0.0,0.25,0
VSF-00064,Mumbai,University Area,36.0,0.74,Fast Food,Pending Renewal,2632.5,154.0,3178.94,0,12.5,0.0,,0.0,251.26,Winter,0.0,,0
VSF-00065,Bengaluru,University Area,31.0,2.49,Chaat,Licensed,4673.62,253.0,,0,6.98,5.0,,0.0,89.68,Winter,0.0,,1
VSF-00066,Mumbai,Transit Hub,39.0,12.12,South Indian,Licensed,2837.53,133.0,7508.63,0,7.23,12.0,85.99,0.0,258.09,Post-Monsoon,1.0,,1
VSF-00067,Kochi,Residential,71.0,0.56,Grilled & BBQ,Licensed,1180.63,67.0,1464.45,0,13.6,9.0,,1.0,350.0,Monsoon,0.0,0.01,0
VSF-00068,Bengaluru,Transit Hub,20.0,1.9,South Indian,Licensed,3299.36,,3708.06,0,13.45,18.0,79.88,1.0,94.39,Winter,1.0,,1
VSF-00069,Kochi,Transit Hub,48.0,11.68,South Indian,Licensed,,96.0,1557.87,0,10.91,12.0,92.3,0.0,350.0,Monsoon,0.0,0.05,0
VSF-00070,Hyderabad,Tourist Spot,36.0,7.14,Beverages,Licensed,830.06,43.0,6753.07,1,7.01,4.0,61.83,0.0,79.99,Post-Monsoon,0.0,0.25,1
VSF-00071,Lucknow,Industrial,55.0,4.4,North Indian,Pending Renewal,2129.81,107.0,0.0,1,7.75,5.0,,0.0,28.75,Post-Monsoon,0.0,0.15,1
VSF-00072,Bengaluru,University Area,23.0,3.6,Desserts & Sweets,,3575.3,175.0,4027.9,0,13.71,1.0,71.58,0.0,166.08,Monsoon,0.0,0.22,1
VSF-00073,Hyderabad,Industrial,32.0,12.42,South Indian,Pending Renewal,700.7,38.0,3731.17,0,6.22,1.0,,0.0,95.06,Monsoon,0.0,0.22,1
VSF-00074,Lucknow,Industrial,20.0,1.27,Chinese,Unlicensed,664.82,38.0,5018.23,1,7.37,1.0,81.69,0.0,10.63,Winter,0.0,0.13,1
VSF-00075,Pune,Tourist Spot,36.0,28.96,Fast Food,Licensed,1984.78,83.0,7589.48,0,7.87,2.0,,0.0,154.79,Monsoon,1.0,0.05,1
VSF-00076,Hyderabad,Industrial,36.0,19.16,Fast Food,Licensed,,3.0,6719.7,2,7.31,5.0,36.18,0.0,133.02,Monsoon,0.0,0.22,0
VSF-00077,Hyderabad,Industrial,29.0,5.24,Rolls & Wraps,Unlicensed,663.06,51.0,7119.06,0,7.52,6.0,77.97,1.0,52.25,Winter,0.0,0.06,0
VSF-00078,Lucknow,Transit Hub,28.0,10.04,Desserts & Sweets,Unlicensed,,15.0,4285.35,1,6.12,14.0,37.94,0.0,52.75,Winter,0.0,0.08,0
VSF-00079,Delhi,Commercial,43.0,14.78,North Indian,Unlicensed,1476.02,85.0,2973.8,1,7.9,18.0,,0.0,182.31,Monsoon,0.0,0.14,0
VSF-00080,Mumbai,University Area,54.0,12.5,Fast Food,Licensed,2911.02,144.0,0.0,0,,,49.64,1.0,236.47,Post-Monsoon,0.0,0.08,0
VSF-00081,Hyderabad,Residential,21.0,4.14,Fast Food,Licensed,12000.0,400.0,0.0,0,6.89,9.0,79.07,0.0,38.15,Winter,1.0,0.29,1
VSF-00082,Pune,Transit Hub,40.0,18.33,Grilled & BBQ,Pending Renewal,3451.73,166.0,5056.14,0,7.71,16.0,47.33,1.0,71.38,Summer,0.0,0.11,0
VSF-00083,Jaipur,Commercial,25.0,8.77,Rolls & Wraps,Licensed,2689.17,132.0,6068.42,1,7.52,14.0,,0.0,25.11,Summer,0.0,0.05,1
VSF-00084,Jaipur,Transit Hub,,17.72,Seafood,Licensed,1378.22,,6421.27,1,7.94,19.0,72.29,0.0,19.88,Summer,0.0,0.26,1
VSF-00085,Bengaluru,Commercial,36.0,3.68,Chaat,Licensed,1427.71,78.0,4734.3,4,7.01,15.0,28.89,0.0,79.54,Winter,1.0,0.06,1
VSF-00086,Lucknow,Residential,35.0,3.96,Beverages,Licensed,3133.38,133.0,1292.14,1,6.87,2.0,25.0,0.0,50.67,Summer,0.0,0.19,1
VSF-00087,Bengaluru,Commercial,21.0,1.01,Beverages,Licensed,659.8,38.0,4520.89,1,12.2,10.0,65.0,0.0,134.95,Monsoon,0.0,0.14,1
VSF-00088,Bengaluru,Transit Hub,21.0,4.76,Seafood,Unlicensed,435.55,43.0,7541.12,0,10.88,13.0,34.14,1.0,94.92,Summer,0.0,0.27,0
VSF-00089,Pune,Industrial,42.0,23.74,South Indian,Licensed,640.73,19.0,5168.47,1,7.9,9.0,48.75,0.0,63.01,Post-Monsoon,0.0,0.23,0
VSF-00090,Pune,Transit Hub,40.0,21.03,Rolls & Wraps,Licensed,4892.75,233.0,2905.16,0,6.6,11.0,,0.0,63.4,Post-Monsoon,0.0,0.01,1
VSF-00091,Bengaluru,University Area,72.0,,Grilled & BBQ,Licensed,1509.35,77.0,6627.14,1,11.49,9.0,85.0,0.0,94.67,Winter,0.0,0.24,0
VSF-00092,Bengaluru,Industrial,21.0,4.05,Rolls & Wraps,Licensed,937.96,53.0,4538.42,1,6.12,5.0,,0.0,178.05,Monsoon,0.0,0.13,1
VSF-00093,Hyderabad,Industrial,48.0,29.42,Beverages,Pending Renewal,2138.41,117.0,6972.62,1,7.77,9.0,,0.0,67.89,Post-Monsoon,0.0,0.14,0
VSF-00094,Bengaluru,Commercial,37.0,4.67,Rolls & Wraps,Licensed,2086.26,93.0,4043.45,0,10.93,17.0,45.0,0.0,99.34,Post-Monsoon,0.0,0.12,1
VSF-00095,Mumbai,Commercial,55.0,17.72,Grilled & BBQ,Unlicensed,2210.98,96.0,3613.44,0,7.21,9.0,86.68,0.0,298.88,Monsoon,0.0,0.18,1
VSF-00096,Bengaluru,Tourist Spot,,16.71,Chinese,Expired,756.81,54.0,2374.75,0,7.32,,93.75,1.0,89.73,Post-Monsoon,0.0,,1
VSF-00097,Delhi,Industrial,26.0,,South Indian,Unlicensed,1748.29,96.0,1090.53,0,6.04,4.0,62.46,0.0,80.46,Winter,1.0,0.1,1
VSF-00098,Pune,Residential,29.0,7.74,Grilled & BBQ,Expired,1307.81,73.0,7864.05,1,12.86,8.0,91.19,0.0,147.59,Monsoon,0.0,0.16,0
VSF-00099,Pune,Industrial,33.0,11.81,Desserts & Sweets,Pending Renewal,1139.59,65.0,4922.77,0,12.33,7.0,,0.0,56.27,Post-Monsoon,0.0,,0
VSF-00100,Jaipur,Transit Hub,39.0,16.05,Fast Food,Licensed,1085.88,51.0,7553.35,0,6.14,16.0,,0.0,69.78,Monsoon,0.0,,0
VSF-00101,Delhi,Commercial,55.0,2.35,Rolls & Wraps,Expired,2466.71,145.0,2986.09,0,6.35,11.0,,0.0,88.68,Winter,0.0,0.07,1
VSF-00102,Mumbai,Industrial,37.0,13.95,Rolls & Wraps,Pending Renewal,1964.88,92.0,6289.62,0,7.9,4.0,75.22,1.0,301.3,Monsoon,0.0,0.05,0
VSF-00103,Mumbai,Tourist Spot,51.0,11.34,South Indian,Unlicensed,584.6,41.0,4544.53,0,13.01,,67.05,0.0,252.17,Summer,0.0,0.08,0
VSF-00104,Bengaluru,Tourist Spot,32.0,6.67,Beverages,Pending Renewal,1922.1,89.0,6369.58,0,11.11,8.0,85.0,0.0,137.06,Monsoon,0.0,0.28,1
VSF-00105,Hyderabad,Industrial,40.0,,Rolls & Wraps,Licensed,1177.51,78.0,1016.75,4,13.73,0.0,34.42,0.0,75.39,Summer,0.0,0.09,1
VSF-00106,Mumbai,Transit Hub,47.0,10.63,Desserts & Sweets,Expired,643.53,28.0,2765.24,0,7.83,7.0,,0.0,332.09,Monsoon,0.0,,1
VSF-00107,Delhi,University Area,42.0,,Rolls & Wraps,Licensed,1293.28,48.0,0.0,1,11.15,9.0,,0.0,178.63,Monsoon,0.0,0.11,1
VSF-00108,Hyderabad,University Area,27.0,8.91,Beverages,Licensed,4412.33,229.0,1543.51,0,11.19,5.0,80.0,1.0,53.9,Post-Monsoon,0.0,,0
VSF-00109,Delhi,Tourist Spot,36.0,4.58,South Indian,Unlicensed,1923.83,108.0,6285.56,1,6.41,5.0,25.74,0.0,94.95,Winter,0.0,0.2,0
VSF-00110,Delhi,University Area,54.0,25.09,South Indian,Expired,1709.38,93.0,2802.32,0,7.11,3.0,32.62,0.0,181.45,Monsoon,0.0,0.25,1
VSF-00111,Bengaluru,Tourist Spot,42.0,14.28,Chaat,Pending Renewal,360.0,18.0,7291.4,0,12.24,9.0,,1.0,87.97,Post-Monsoon,0.0,0.26,0
VSF-00112,Bengaluru,Transit Hub,28.0,7.66,Chaat,Licensed,737.25,32.0,7265.35,0,6.2,13.0,,0.0,81.52,Post-Monsoon,0.0,,0
VSF-00113,Bengaluru,Industrial,45.0,22.78,Seafood,Unlicensed,,46.0,2754.74,3,7.1,7.0,,0.0,94.98,Winter,0.0,0.25,0
VSF-00114,Bengaluru,Transit Hub,34.0,9.77,Seafood,Licensed,1422.04,67.0,3735.55,0,7.65,18.0,70.0,0.0,88.79,Summer,0.0,0.05,1
VSF-00115,Hyderabad,Tourist Spot,23.0,1.03,Seafood,Licensed,2618.02,120.0,6329.64,0,7.24,7.0,85.0,1.0,39.87,Winter,0.0,0.16,1
VSF-00116,Mumbai,Transit Hub,30.0,4.88,South Indian,Expired,2231.0,110.0,2607.78,1,6.24,6.0,,1.0,301.1,Monsoon,0.0,0.05,1
VSF-00117,Hyderabad,Commercial,33.0,13.8,Chaat,,930.9,46.0,7404.33,0,7.43,8.0,78.86,0.0,67.05,Post-Monsoon,0.0,0.1,1
VSF-00118,Pune,Tourist Spot,26.0,8.23,Rolls & Wraps,Expired,1125.75,60.0,1651.17,0,11.43,2.0,,0.0,89.05,Post-Monsoon,1.0,0.16,1
VSF-00119,Mumbai,Tourist Spot,43.0,2.82,Chaat,Unlicensed,1267.95,78.0,5711.78,0,7.26,2.0,28.97,0.0,249.91,Winter,0.0,0.06,1
VSF-00120,Bengaluru,Transit Hub,32.0,1.83,Grilled & BBQ,Expired,943.48,46.0,4567.13,0,7.2,5.0,87.35,0.0,153.73,Monsoon,1.0,0.21,0
VSF-00121,Hyderabad,Commercial,26.0,4.42,Grilled & BBQ,Pending Renewal,2350.79,91.0,1352.4,0,7.0,7.0,46.6,0.0,79.43,Post-Monsoon,0.0,0.19,1
VSF-00122,Bengaluru,Residential,46.0,4.24,North Indian,Licensed,3642.37,195.0,1509.88,0,6.59,3.0,,0.0,127.82,Monsoon,1.0,0.26,1
VSF-00123,Lucknow,University Area,37.0,4.5,Seafood,Expired,689.37,,3843.12,5,7.79,9.0,90.0,1.0,25.52,Summer,0.0,0.17,0
VSF-00124,Mumbai,Transit Hub,23.0,2.22,Desserts & Sweets,Unlicensed,1932.4,113.0,7697.21,0,10.88,11.0,21.58,1.0,260.55,Summer,0.0,0.2,0
VSF-00125,Bengaluru,Residential,39.0,0.67,Desserts & Sweets,Unlicensed,2719.15,138.0,0.0,0,6.37,7.0,53.84,0.0,86.86,Post-Monsoon,0.0,,1
VSF-00126,Bengaluru,Tourist Spot,47.0,0.62,Chinese,Licensed,,88.0,0.0,4,7.94,5.0,43.65,0.0,77.04,Summer,0.0,0.07,0
VSF-00127,Kochi,Industrial,43.0,,Grilled & BBQ,Licensed,1526.39,68.0,4557.57,0,7.91,2.0,,0.0,307.03,Post-Monsoon,0.0,0.03,0
VSF-00128,Delhi,Transit Hub,42.0,24.44,South Indian,Unlicensed,1022.63,36.0,2632.69,0,7.4,15.0,62.55,1.0,95.22,Post-Monsoon,0.0,0.27,1
VSF-00129,Mumbai,Transit Hub,54.0,1.41,Chaat,Licensed,2630.77,132.0,4955.24,2,13.24,7.0,42.18,0.0,240.75,Summer,0.0,0.08,1
VSF-00130,Delhi,University Area,28.0,4.96,Fast Food,Licensed,1057.32,34.0,6615.57,2,10.08,9.0,,0.0,79.66,Winter,1.0,0.08,1
VSF-00131,Bengaluru,Industrial,42.0,10.04,Fast Food,Licensed,872.49,41.0,5350.54,1,6.29,5.0,,0.0,141.98,Monsoon,0.0,0.24,0
VSF-00132,Bengaluru,Transit Hub,27.0,6.8,South Indian,Licensed,1054.7,59.0,3187.64,0,12.04,7.0,,0.0,98.08,Winter,1.0,0.2,0
VSF-00133,Lucknow,Tourist Spot,26.0,,Grilled & BBQ,Licensed,1977.4,117.0,5151.05,0,13.32,3.0,50.17,0.0,39.52,Summer,1.0,0.04,1
VSF-00134,Delhi,Industrial,51.0,27.39,North Indian,Unlicensed,488.51,10.0,4439.75,0,7.97,5.0,53.84,0.0,106.89,Post-Monsoon,0.0,0.25,0
VSF-00135,Delhi,Commercial,28.0,28.98,Rolls & Wraps,Pending Renewal,1619.14,76.0,0.0,0,6.75,5.0,30.0,1.0,99.31,Post-Monsoon,0.0,0.19,1
VSF-00136,Hyderabad,University Area,22.0,2.26,Rolls & Wraps,Licensed,2034.04,101.0,3288.17,0,6.47,2.0,,1.0,26.95,Winter,0.0,0.03,1
VSF-00137,Mumbai,Tourist Spot,37.0,6.61,Fast Food,Pending Renewal,2043.01,108.0,0.0,1,7.73,,,1.0,248.13,Winter,0.0,0.15,1
VSF-00138,Lucknow,Industrial,23.0,3.4,North Indian,Licensed,1133.59,27.0,1921.57,0,6.75,0.0,,0.0,15.74,Winter,0.0,0.26,1
VSF-00139,Hyderabad,Industrial,53.0,16.17,Seafood,Unlicensed,367.24,10.0,0.0,0,11.53,0.0,92.58,0.0,64.04,Post-Monsoon,0.0,0.25,1
VSF-00140,Delhi,Residential,44.0,7.12,Desserts & Sweets,Licensed,4227.753129722455,1.0,,0,12.33,9.0,61.0,0.0,125.06,Summer,0.0,0.18,1
VSF-00141,Bengaluru,University Area,38.0,10.98,South Indian,Licensed,475.63,21.0,6645.01,0,7.7,2.0,79.35,0.0,107.2,Post-Monsoon,1.0,0.02,1
VSF-00142,Delhi,Commercial,45.0,11.34,Chaat,Pending Renewal,1404.64,78.0,5892.41,0,6.25,16.0,25.0,0.0,116.53,Summer,1.0,0.05,0
VSF-00143,Mumbai,University Area,49.0,6.16,Chinese,Licensed,2452.59,,5887.55,0,10.79,0.0,76.1,0.0,314.09,Monsoon,1.0,0.28,0
VSF-00144,Delhi,Tourist Spot,23.0,1.31,Seafood,Unlicensed,1748.49,71.0,4606.33,0,10.79,3.0,,1.0,173.78,Monsoon,0.0,0.17,0
VSF-00145,Mumbai,Commercial,43.0,18.33,Rolls & Wraps,Unlicensed,1394.12,45.0,0.0,2,6.39,18.0,48.35,0.0,220.93,Winter,1.0,0.04,1
VSF-00146,Delhi,Industrial,49.0,3.44,North Indian,,1313.75,80.0,4080.68,0,11.13,0.0,,0.0,109.43,Summer,1.0,0.17,1
VSF-00147,Hyderabad,Residential,26.0,5.97,Desserts & Sweets,Unlicensed,1121.69,62.0,2755.16,0,11.91,6.0,70.73,0.0,54.92,Summer,0.0,0.28,0
VSF-00148,Jaipur,Residential,,24.59,Fast Food,Licensed,1308.09,76.0,6210.25,3,11.45,9.0,65.0,0.0,52.18,Summer,0.0,0.24,0
VSF-00149,Bengaluru,Industrial,37.0,11.62,North Indian,,2828.75,118.0,1220.9,0,6.34,9.0,,1.0,98.33,Post-Monsoon,1.0,,1
VSF-00150,Mumbai,Transit Hub,53.0,14.27,Fast Food,Pending Renewal,1368.62,85.0,5819.6,0,11.92,5.0,,0.0,265.11,Post-Monsoon,0.0,0.17,1
VSF-00151,Jaipur,Industrial,65.0,10.32,Beverages,Licensed,338.4,10.0,3333.57,1,10.5,0.0,,0.0,18.17,Summer,0.0,0.02,1
VSF-00152,Kochi,University Area,29.0,11.86,Beverages,Expired,1848.69,82.0,3135.17,3,12.84,2.0,49.42,,300.42,Summer,0.0,0.1,1
VSF-00153,Kochi,Tourist Spot,39.0,,Chaat,Unlicensed,2283.51,109.0,1498.25,0,6.12,,37.04,0.0,350.0,Monsoon,0.0,0.25,1
VSF-00154,Pune,Industrial,20.0,1.0,Grilled & BBQ,Licensed,1492.35,73.0,0.0,0,12.33,1.0,26.93,0.0,72.48,Winter,0.0,0.16,0
VSF-00155,Jaipur,Commercial,20.0,0.67,North Indian,Licensed,1557.87,101.0,6461.59,0,7.7,15.0,,0.0,114.14,Monsoon,0.0,0.21,0
